"INCIDENT NUMBER","CRASH DATE","STREET ADDRESS","CITY","STATE","INTERSECTING STREET","DISTRICT","ZONE","CRASH OCCURRED ON","TYPE OF ROADWAY","ROAD SURFACE","ROADWAY CONDITION","WEATHER CONDITION","LIGHTING CONDITION","INJURY","FATALITY","HIT AND RUN","PEDESTRIAN INVOLVED","TRAIN INVOLVED","INTERSECTION","TOTAL VEHICLES","VEHICLE ALIGNMENT","RELATION TO ROADWAY","MANNER OF COLLISION","PRIMARY FACTOR","SECONDARY FACTOR","LATITUDE","LONGITUDE","GEOMETRY"
"25-220135","2025 Nov 25 01:00:00 AM","55 I-110 HWY","Baton Rouge","LA","GOVERNMENT","10","1A-1","Interstate","ONE-WAY ROAD","Wet",,"Cloudy","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Front to rear - rear end","Violations","Not applicable","30.4440328238644","-91.1789734181685","POINT (-91.1789794 30.4440383)"
"25-220105","2025 Nov 25 01:00:00 AM","10100 AIRLINE HWY","Baton Rouge","LA","DAWNADELE","11","3G-4","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Wet",,"Rain","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - right into flow","Movement prior to crash","Violations","30.4192214573791","-91.0719003094166","POINT (-91.0719062 30.4192269)"
"25-219723","2025 Nov 24 01:00:00 AM","6200 ST. GERARD AVE","Baton Rouge","LA","E BROOKSTOWN","5","4F-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","1","Straight","Roadside","Not a collision between two motor vehicles in transport","Movement prior to crash","Not applicable","30.496819931435","-91.1284320281849","POINT (-91.128438 30.4968254)"
"25-219554","2025 Nov 23 01:00:00 AM","2298 74TH AVE","Baton Rouge","LA","PEMBROKE","2","4C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","In parking lane or zone","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.5158174069826","-91.1697436244352","POINT (-91.1697496 30.5158229)"
"25-219682","2025 Nov 23 01:00:00 AM","3800 WYANDOTTE ST","Baton Rouge","LA","N 38TH","7","4G-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4825553295349","-91.1530129785499","POINT (-91.1530189 30.4825608)"
"25-219467","2025 Nov 23 01:00:00 AM","5000 FLORIDA BLVD","Baton Rouge","LA","N FOSTER","6","1C-1","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","true","2","Straight","On roadway","Front to front - head on","Driver condition","Movement prior to crash","30.4509273446562","-91.1389600047363","POINT (-91.1389659 30.4509328)"
"25-219566","2025 Nov 23 01:00:00 AM","12829 FAIRWOOD CT","Baton Rouge","LA","STONEGATE","8","3E-5","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Not a collision between two motor vehicles in transport","Violations","Not applicable","30.4424769015764","-91.0353527190417","POINT (-91.0353586 30.4424824)"
"25-219617","2025 Nov 23 01:00:00 AM","6409 HARRY DR","Baton Rouge","LA","EXECUTIVE PARK","6","1D-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","1","0","0","false","2","Straight","Off roadway, location unknown","Backing - rear to side","Violations","Movement prior to crash","30.4568990140139","-91.1249253387514","POINT (-91.1249313 30.4569045)"
"25-219546","2025 Nov 23 01:00:00 AM","700 W JOHNSON ST","Baton Rouge","LA","HIGHLAND","10","2C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Violations","30.4244827776448","-91.1794488973756","POINT (-91.1794548 30.4244883)"
"25-219610","2025 Nov 23 01:00:00 AM","300 GOVERNMENT ST","Baton Rouge","LA","SAINT LOUIS","10","5A-1","City street","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4433373787446","-91.1874530990372","POINT (-91.187459 30.4433429)"
